	1970	1980	1990	2000	2010	2013	Bundesland	
Herne	103.849	182.542	178.132	174.529	164.762	154.417	Nordrhein-Westfalen	
52.	HafenNeuss1.jpg							
Neuss	116.013	149.334	147.019	150.013	151.388	152.252	Nordrhein-Westfalen	
53.	Heidelberg corr.jpg							
Heidelberg	121.398	133.227	136.796	140.259	147.312	152.113	Baden-Württemberg	
54.	Luisenplatz.jpg							
Darmstadt	141.847	138.201	138.920	138.242	144.402	149.743	Hessen	
55.	Paderborner Dom, mit Domvorplatz, Brunnen und Dommuseum.jpg							
Paderborn	68.207	110.155	120.680	139.084	146.283	143.659	Nordrhein-Westfalen	
56.	Rgbg-dom und rathaus.jpg							
Regensburg	130.888	132.604	121.691	125.676	135.520	140.276	Bayern	
57.	Buergerfest Ingolstadt.JPG							
Ingolstadt	70.594	90.490	105.489	115.722	125.088	129.136	Bayern	
58.	Alter Kranen at Night, Würzburg, Germany.jpg							
Würzburg	116.395	128.652	127.777	127.966	133.799	124.698	Bayern	
59.	Wolfsburg Porschestraße Rathaus.JPG							
Wolfsburg	90.115	125.935	128.510	121.805	121.451	122.457	Niedersachsen	
60.	Fuerth aus der Luft.jpg							
Fürth	94.415	99.088	103.362	110.477	114.628	119.808	Bayern	
61.	Ulm Neutorbrücke mit dem Ulmer Münster Foto 2007 Wolfgang Pehlemann Wiesbaden PICT3255.jpg							
Ulm	93.158	100.671	110.529	117.233	122.801	119.218	Baden-Württemberg	
62.	Offenbach Isenburger Schloss d.jpg							
Offenbach am Main	118.841	110.993	114.992	117.535	120.435	119.203	Hessen	
63.	Heilbronn Innenstadt u Wartberg 20050918.jpg							
Heilbronn	102.300	111.938	115.843	119.305	122.879	118.122	Baden-Württemberg	
64.	PF82s.jpg							
Pforzheim	91.104	106.500	112.944	117.156	119.781	117.754	Baden-Württemberg	
65.	Goettingen Marktplatz Oct06.jpg							
Göttingen	109.892	129.656	121.831	124.132	121.060	116.891	Niedersachsen	
66.	Altmarkt Horster Str. Bottrop.JPG							
Bottrop	106.225	114.571	118.936	120.611	116.771	116.055	Nordrhein-Westfalen	
67.	Recklinghausen Markt.jpg							
Recklinghausen	125.369	119.418	125.060	124.785	118.365	115.320	Nordrhein-Westfalen	
68.	Reutlingen.jpg							
Reutlingen	79.705	95.456	103.687	110.650	112.484	111.357	Baden-Württemberg	
69.	Koblenz - Panorama von Festung Ehrenbreitstein.jpg							
Koblenz	120.079	113.676	108.733	107.950	106.417	110.643	Rheinland-Pfalz	
70.	Ausblick Bergisch Gladbach.jpg							
Bergisch Gladbach	50.228	101.472	104.037	105.693	105.723	109.425	Nordrhein-Westfalen	
71.	Remscheid rathaus.jpg							
Remscheid	136.822	129.082	123.155	119.287	110.563	108.955	Nordrhein-Westfalen	
72.	Skyline bremerhaven uf1.jpg							
Bremerhaven	142.919	138.728	130.446	120.822	113.366	108.844	Bremen	
73.	Zentrum Jenas 2008-05-24.JPG							
Jena	88.130	103.718	102.518	99.893	105.129	107.679	Thüringen	
74.	Trier Porta Nigra BW 1.JPG							
Trier	103.598	95.536	97.835	99.410	105.260	107.233	Rheinland-Pfalz	
75.	Erlangen Blick vom Burgberg auf die Innenstadt 2009 001.JPG							
Erlangen	85.061	101.845	102.440	100.778	105.629	105.624	Bayern	
76.	Moers Friedrich Pfefferstraße.JPG							
Moers	53.410	99.923	104.595	107.062	105.506	103.108	Nordrhein-Westfalen	
77.	Cottbus zentrum.jpg							
Cottbus	83.444	113.479	125.891	108.491	102.091	99.595	Brandenburg	
78.	Oberstadt siegen.jpg							
Siegen	57.563	112.320	109.174	108.476	103.424	99.403	Nordrhein-Westfalen	
79.	Hildesheim Marktplatz P 616-18-th.jpg							
Hildesheim	93.373	102.619	105.291	103.909	102.794	99.390	Niedersachsen	
80.	Schloss Ringelheim.jpg							
Salzgitter	119.031	113.600	114.355	112.302	102.394	98.197	Niedersachsen	
81.	Kaiserslautern town big 2.jpg							
Kaiserslautern	100.696	98.745	99.351	99.825	99.184	97.162	Rheinland-Pfalz	
82.	Witten 20090218.jpg							
Witten	97.687	105.876	105.403	103.196	98.233	95.629	Nordrhein-Westfalen	
83.	Berliner Platz Guetersloh Proedous.jpg							
Gütersloh	75.912	78.221	86.807	95.158	96.404	95.507	Nordrhein-Westfalen	
84.	Gera Orangerie Kopie.jpg							
Gera	111.535	125.383	129.037	112.835	99.262	94.977	Thüringen	
85.	Iserlohn-Rathausplatz1-Asio.JPG							
Iserlohn	57.321	93.823	96.314	98.790	94.966	93.119	Nordrhein-Westfalen	
86.	Schwerin-Schloss-gp2.jpg							
Schwerin	97.389	121.175	127.447	101.267	95.220	91.583	Mecklenburg-Vorpommern	
87.	Zwickau Schloss Osterstein 2009-09-08.jpg							
Zwickau	126.988	122.129	114.632	103.008	93.750	91.564	Sachsen	
88.	Frankfurter Tor (Hanau)1.jpg							
Hanau	55.492	86.402	86.913	88.294	88.637	89.907	Hessen	
89.	SchlossLudwigsburgInnenhof.jpg							
Ludwigsburg	78.111	81.589	82.343	87.146	87.735	89.639	Baden-Württemberg	
90.	20050724-esslingen-von-pliensauvorstadt.jpg							
Esslingen am Neckar	87.371	90.835	91.685	89.667	91.869	89.242	Baden-Württemberg	
91.	Schlossburgau.jpg							
Düren	53.755	85.913	86.508	91.801	92.820	88.953	Nordrhein-Westfalen	
92.	Schloßlinnep1.jpg							
Ratingen	44.479	89.466	91.007	91.437	91.088	86.388	Nordrhein-Westfalen	
93.	Tuebingen Neckarfront.jpg							
Tübingen	55.168	73.132	80.372	81.128	88.358	85.383	Baden-Württemberg	
94.	Luenen lippebruecke.jpg							
Lünen	71.826	85.872	87.845	92.017	87.530	84.775	Nordrhein-Westfalen	
95.	Flensburg 2015-08 img15 view to Jürgensby.jpg							
Flensburg	95.366	87.862	86.977	84.281	88.759	83.971	Schleswig-Holstein	
96.	Rathaus Marl.jpg							
Marl	76.999	89.082	91.467	93.256	87.557	83.634	Nordrhein-Westfalen	
97.	DessauRathaus.JPG							
Dessau-Roßlau2	98.402	102.529	96.754	83.153	86.906	83.616	Sachsen-Anhalt	
98.	Konstanz Altstadt2.jpg							
Konstanz	61.614	68.305	75.089	78.087	84.693	81.141	Baden-Württemberg	
99.	Villingen Kaiserturm.jpg							
Villingen-Schwenningen3	37.999	78.904	78.218	80.891	81.022	81.128	Baden-Württemberg	
100.	VelbertMuenzbrunnen.jpg							
Velbert	55.610	93.056	89.253	89.782	84.033	80.572	Nordrhein-Westfalen	
101.	Wormser Dom Seitenansicht.jpg							
Worms	77.064	73.603	76.503	80.361	81.736	80.296	Rheinland-Pfalz	
102.	Minden ueber weser von norden.jpg							
Minden	48.860	77.713	78.145	83.079	82.114	79.969	Nordrhein-Westfalen	
103.	Mk Giessen Stadt.jpg							
Gießen	75.532	76.374	74.497	73.138	77.366	77.733	Hessen	
104.	City hall Neumuenster Germany.jpg							
Neumünster	86.133	80.145	80.743	79.831	76.830	77.058	Schleswig-Holstein	
105.	WHV KW-Bruecke-und-Feuerschiff.jpg							
Wilhelmshaven	102.978	99.230	90.561	85.287	81.324	75.728	Niedersachsen	
106.	Juedisches Museum Westfalen Dorsten.jpg							
Dorsten	39.551	70.287	78.035	81.063	76.775	75.547	Nordrhein-Westfalen	
107.	Bahnhof Norderstedt mit einem AKN-Zug							
Norderstedt	55.770	65.301	68.450	71.523	71.992	75.394	Schleswig-Holstein	
108.	Festhalle viersen.JPG							
Viersen	85.698	81.114	77.453	77.130	75.360	74.907	Nordrhein-Westfalen	
109.	Delmenhorst Rathaus.jpg							
Delmenhorst	63.870	72.370	75.154	76.644	74.361	74.052	Niedersachsen	
110.	2008-03 gla museum.JPG							
Gladbeck	83.132	79.747	80.267	77.789	75.253	74.011	Nordrhein-Westfalen	
111.	Schloss Bladenhorst.jpg							
Castrop-Rauxel	83.901	78.877	79.037	78.608	75.408	73.751	Nordrhein-Westfalen	
112.	Bezreg1.JPG							
Arnsberg	22.398	78.056	75.864	77.473	74.227	73.501	Nordrhein-Westfalen	
113.	Rheine 01.jpg							
Rheine	50.076	71.432	70.452	75.886	76.530	73.484	Nordrhein-Westfalen	
114.	Altstadt in Detmold.jpg							
Detmold	63.684	67.612	70.074	73.695	72.758	73.449	Nordrhein-Westfalen	
115.	Marburger Schloss 024.jpg							
Marburg	47.230	76.419	74.146	77.390	80.656	73.125	Hessen	
116.	Rathaus Troisdorf.jpg							
Troisdorf	51.941	58.618	64.430	72.678	75.369	72.978	Nordrhein-Westfalen	
117.	Lüdenscheid Zeppelin-Gymnasium Edit.jpg							
Lüdenscheid	79.086	74.578	79.401	80.613	75.463	72.927	Nordrhein-Westfalen	
118.	2010-06-06-lueneburg-by-RalfR-10.jpg							
Lüneburg	59.763	62.225	61.870	67.398	72.983	71.668	Niedersachsen	
119.	Blickbtstadtkirche.jpg							
Bayreuth	64.185	70.633	72.345	74.153	72.683	71.572	Bayern	
120.	Bamberger Dom.jpg							
Bamberg	70.384	71.928	70.521	69.036	70.004	71.167	Bayern	
121.	Dom Brandenburg 3.jpg							
Brandenburg an der Havel	93.983	94.953	89.889	77.516	71.778	71.032	Brandenburg	
122.	Apostelkirche (Bocholt) autostitch.jpg							
Bocholt	49.244	65.352	68.936	72.138	73.170	70.856	Nordrhein-Westfalen	
123.	Schlosscelle.jpg							
Celle	57.130	72.820	72.260	72.127	70.242	68.508	Niedersachsen	
124.	DE Schloss-Johannisburg by Steschke.jpg							
Aschaffenburg	55.119	59.257	64.098	67.592	68.678	67.844	Bayern	
125.	Loesch.jpg							
Dinslaken	55.241	59.473	65.313	70.714	69.472	67.190	Nordrhein-Westfalen	
126.	Marktbrunnen Aalen.jpg							
Aalen	37.066	63.030	64.781	66.066	66.113	66.813	Baden-Württemberg	
127.	Lippstadt Marienkirche2.JPG							
Lippstadt	41.743	61.927	62.345	66.933	66.976	66.312	Nordrhein-Westfalen	
128.	Landshut-Ansicht.jpg							
Landshut	52.425	55.796	59.066	58.746	63.258	66.179	Bayern	
129.	Jakobikirche.Herford.jpg							
Herford	65.422	62.881	63.893	65.083	64.088	65.333	Nordrhein-Westfalen	
130.	Orangerie-kempten(3).jpg							
Kempten (Allgäu)	44.884	57.376	61.906	61.389	62.060	65.044	Bayern	
131.	FD Stadtschloss NW.jpg							
Fulda	45.187	57.035	56.289	62.510	64.349	65.036	Hessen	
132.	Vogtland-Theater.jpg							
Plauen	82.026	78.828	71.774	71.543	66.098	63.967	Sachsen	
133.	Herrenhuther Viertel.JPG							
Neuwied	62.666	60.485	62.075	67.057	64.318	63.883	Rheinland-Pfalz	
134.	Schloss Loersfeld.jpg							
Kerpen	10.608	54.725	57.337	63.135	64.602	63.784	Nordrhein-Westfalen	
135.	NB-Treptower-Tor-11-IV-2007-071.jpg							
Neubrandenburg	46.087	79.006	89.284	73.318	65.282	63.437	Mecklenburg-Vorpommern	
136.	Deutsches Nationaltheater Weimar.jpg							
Weimar	63.634	63.709	60.326	62.425	65.479	63.315	Thüringen	
137.	NAK Dormagen - Position 5(2).jpg							
Dormagen	30.869	56.645	58.260	62.957	62.961	62.498	Nordrhein-Westfalen	
138.	Grevenbroich Am alten Schloss.jpg							
Grevenbroich	27.698	60.317	60.835	64.688	63.891	61.891	Nordrhein-Westfalen	
139.	Mittleres Rathaus Sindelfingen.JPG							
Sindelfingen	41.967	54.808	58.805	60.766	60.445	61.669	Baden-Württemberg	
140.	Opelvillen Ruesselsheim.JPG							
Rüsselsheim am Main	60.911	60.974	59.430	59.357	60.294	60.929	Hessen	
141.	Gelsenkirchen Bergwerk Westerholt 2.jpg							
Herten	52.966	69.247	69.245	66.930	62.235	60.582	Nordrhein-Westfalen	
142.	Rosenheim Panorama.jpg							
Rosenheim	37.078	51.604	56.340	58.908	61.299	60.464	Bayern	
143.	Gindericher Kirche.jpg							
