	1970	1980	1990	2000	2010	2013	Bundesland	
218.	Leonberg	25.049	38.927	42.654	44.037	45.098	45.458	Baden-Württemberg
219.	Stade	32.769	42.818	42.487	44.929	46.159	45.317	Niedersachsen
220.	Bünde	40.403	40.056	40.508	44.582	44.786	45.189	Nordrhein-Westfalen
221.	Oberursel (Taunus)	25.301	38.979	40.180	42.096	43.741	44.779	Hessen
222.	Filderstadt6	11.311	37.300	38.498	41.924	44.348	44.631	Baden-Württemberg
223.	Hof	54.058	53.180	52.913	50.741	46.286	44.522	Bayern
224.	Fellbach	29.000	41.383	40.930	42.822	44.665	44.403	Baden-Württemberg
225.	Gotha	57.010	57.892	54.525	48.376	45.593	44.325	Thüringen
226.	Albstadt4	22.446	48.152	49.021	48.155	44.974	44.056	Baden-Württemberg
227.	Brühl	40.975	42.895	41.829	43.839	44.260	44.029	Nordrhein-Westfalen
228.	Landau in der Pfalz	31.437	36.522	37.274	41.122	43.615	43.825	Rheinland-Pfalz
229.	Lahr/Schwarzwald	25.030	35.465	34.719	42.411	43.827	43.728	Baden-Württemberg
230.	Erkrath	20.141	43.703	47.659	48.767	45.963	43.639	Nordrhein-Westfalen
231.	Weinheim	29.640	41.654	42.241	42.718	43.682	43.624	Baden-Württemberg
232.	Neustadt am Rübenberge	13.463	38.226	39.532	45.026	45.049	43.378	Niedersachsen
233.	Kamen	42.058	44.017	46.160	46.565	44.398	43.177	Nordrhein-Westfalen
234.	Rodgau7	10.035	35.736	40.088	43.123	43.283	43.115	Hessen
235.	Lehrte	21.940	38.371	40.350	43.872	43.259	43.048	Niedersachsen
236.	Bruchsal	27.151	37.351	38.059	41.580	43.224	42.871	Baden-Württemberg
237.	Erkelenz	12.435	35.773	37.833	43.194	44.457	42.792	Nordrhein-Westfalen
238.	Wismar	56.287	57.455	55.509	47.031	44.397	42.219	Mecklenburg-Vorpommern
239.	Bietigheim-Bissingen8	22.492	34.365	38.961	40.312	42.810	42.210	Baden-Württemberg
240.	Kaarst	15.929	38.127	40.508	42.158	42.001	42.165	Nordrhein-Westfalen
241.	Pinneberg	34.987	36.683	37.518	39.423	42.508	42.055	Schleswig-Holstein
242.	Oranienburg	20.381	25.300	28.696	29.872	41.810	42.028	Brandenburg
243.	Nordhausen	44.547	47.038	46.422	45.633	44.296	41.839	Thüringen
244.	Memmingen	32.955	38.298	39.333	40.849	41.025	41.772	Bayern
245.	Kaufbeuren	38.918	42.013	40.432	41.905	41.843	41.759	Bayern
246.	Weiden in der Oberpfalz	42.244	43.886	42.234	43.030	41.961	41.726	Bayern
247.	Rottenburg am Neckar	13.083	31.770	36.006	40.987	42.501	41.718	Baden-Württemberg
248.	Amberg	41.345	44.264	43.111	43.794	43.755	41.592	Bayern
249.	Eisenach	50.918	50.571	45.220	44.442	42.750	41.567	Thüringen
250.	Nettetal	36.838	37.302	38.820	41.871	41.736	41.533	Nordrhein-Westfalen
251.	Gifhorn	23.405	33.154	38.678	42.943	41.558	41.518	Niedersachsen
252.	Homburg	32.497	41.847	43.696	45.769	43.808	41.416	Saarland
253.	Borken	29.402	32.420	36.049	40.474	41.245	41.386	Nordrhein-Westfalen
254.	Bitterfeld-Wolfen5	29.232	22.933	17.988	16.507	45.171	41.259	Sachsen-Anhalt
255.	Falkensee	26.007	24.084	22.047	33.791	40.511	41.258	Brandenburg
256.	Coburg	42.671	45.633	44.246	42.756	41.076	40.994	Bayern
257.	Heinsberg	10.854	36.436	37.305	41.318	40.760	40.908	Nordrhein-Westfalen
258.	Lemgo	38.984	39.864	39.485	41.995	41.424	40.717	Nordrhein-Westfalen
259.	Aurich	11.880	34.647	36.856	40.278	40.572	40.637	Niedersachsen
260.	Wunstorf	17.211	37.676	38.276	41.474	41.014	40.636	Niedersachsen
261.	Halberstadt	46.724	47.834	45.364	41.417	42.605	40.323	Sachsen-Anhalt
262.	Freiberg	50.362	51.373	48.609	45.428	41.342	40.268	Sachsen
263.	Seevetal(*) 9	6.030(a)	36.059	36.740	40.536	42.213	40.159	Niedersachsen
264.	Pirmasens	55.211	49.876	47.680	45.212	40.384	40.101	Rheinland-Pfalz
265.	Monheim am Rhein	38.094	40.559	42.656	43.514	43.063	40.098	Nordrhein-Westfalen
266.	Stendal	36.786	44.336	48.532	39.795	42.435	40.028	Sachsen-Anhalt
267.	Königswinter	31.357	34.983	35.013	38.891	40.771	39.976	Nordrhein-Westfalen
268.	Weißenfels	46.223	39.860	36.865	31.946	41.434	39.909	Sachsen-Anhalt
269.	Dreieich11	22.789	39.076	38.965	40.114	40.484	39.868	Hessen
270.	Ansbach	33.219	38.183	37.893	40.165	40.253	39.839	Bayern
271.	Buxtehude	22.799	31.631	32.276	36.699	39.748	39.777	Niedersachsen
272.	Nürtingen	21.432	35.680	38.337	39.040	40.364	39.755	Baden-Württemberg
273.	Bautzen	43.818	48.277	48.588	43.353	40.573	39.607	Sachsen
274.	Siegburg	33.667	34.616	35.441	37.638	39.746	39.563	Nordrhein-Westfalen
275.	Schwabach	26.551	35.387	35.514	38.213	38.879	39.546	Bayern
276.	Laatzen	13.666	34.748	37.242	38.402	40.254	39.526	Niedersachsen
277.	Löhne	36.860	37.147	38.557	41.421	40.199	39.521	Nordrhein-Westfalen
278.	Kirchheim unter Teck	28.921	32.136	35.842	38.796	39.859	39.389	Baden-Württemberg
279.	Bensheim	27.675	32.964	35.056	38.557	39.729	39.368	Hessen
280.	Freital	42.103	46.149	40.033	40.129	39.275	39.276	Sachsen
281.	Eberswalde10	46.299	53.240	52.586	44.623	40.944	38.844	Brandenburg
282.	Ettlingen	21.548	36.995	37.759	38.433	38.553	38.819	Baden-Württemberg
283.	Ahaus	15.986	27.988	31.202	37.279	38.952	38.753	Nordrhein-Westfalen
284.	Hückelhoven12	24.853	35.196	34.816	38.970	39.215	38.709	Nordrhein-Westfalen
285.	Hofheim am Taunus	18.705	33.197	35.277	37.441	38.253	38.556	Hessen
286.	Germering	16.444	34.788	36.034	36.348	37.780	38.478	Bayern
287.	Neumarkt in der Oberpfalz	18.852	30.477	35.551	39.307	39.163	38.477	Bayern
288.	Völklingen	39.423	44.800	43.751	42.990	39.626	38.468	Saarland
289.	Schorndorf	20.979	33.631	37.687	38.645	39.236	38.431	Baden-Württemberg
290.	Buchholz in der Nordheide	13.996	28.521	31.489	35.916	38.735	37.876	Niedersachsen
291.	Mettmann	30.623	36.676	38.998	38.708	39.300	37.867	Nordrhein-Westfalen
292.	Würselen	19.903	34.847	34.406	36.323	37.693	37.685	Nordrhein-Westfalen
293.	Pirna	47.533	47.551	41.798	42.108	38.705	37.645	Sachsen
294.	Leinfelden-Echterdingen14	12.488	35.263	34.940	35.667	37.222	37.609	Baden-Württemberg
295.	Schwäbisch Hall	23.665	31.562	32.226	35.456	37.137	37.452	Baden-Württemberg
296.	Haltern am See	15.272	30.965	34.025	36.776	37.763	37.266	Nordrhein-Westfalen
297.	Ostfildern15	11.371	28.748	28.678	30.460	36.163	37.085	Baden-Württemberg
298.	Kamp-Lintfort	38.429	37.961	39.019	39.982	38.394	36.973	Nordrhein-Westfalen
299.	Warendorf	19.043	33.147	35.092	38.688	38.134	36.886	Nordrhein-Westfalen
300.	Maintal13	16.429	36.916	36.336	38.179	37.962	36.846	Hessen
301.	Niederkassel	20.616	25.996	29.240	34.613	37.552	36.841	Nordrhein-Westfalen
302.	Voerde (Niederrhein)	28.241	31.588	36.415	38.979	37.406	36.514	Nordrhein-Westfalen
303.	Sankt Ingbert	29.295	41.844	40.931	39.971	37.195	36.254	Saarland
304.	Bernau bei Berlin	13.940	17.847	19.062	24.861	36.338	36.222	Brandenburg
305.	Beckum	27.508	37.899	36.772	37.916	36.736	35.909	Nordrhein-Westfalen
306.	Langen	29.891	28.826	31.992	35.208	35.570	35.845	Hessen
307.	Coesfeld	26.412	31.063	32.739	35.947	36.345	35.813	Nordrhein-Westfalen
308.	Neu-Isenburg	34.873	35.816	35.768	35.524	36.034	35.698	Hessen
309.	Suhl	31.661	48.429	54.731	48.025	38.776	35.665	Thüringen
310.	Papenburg	17.305	27.571	30.078	34.096	35.032	35.614	Niedersachsen
311.	Emsdetten	29.053	31.026	31.930	35.230	35.523	35.447	Nordrhein-Westfalen
312.	Porta Westfalica16	4.544(a)	34.538	35.061	36.182	35.122	35.374	Nordrhein-Westfalen
313.	Erding	10.838	23.770	25.154	31.165	34.514	35.295	Bayern
314.	Greven	26.653	28.743	31.010	34.217	36.044	35.278	Nordrhein-Westfalen
315.	Wesseling	25.948	29.005	30.710	34.931	35.116	35.224	Nordrhein-Westfalen
316.	Backnang	27.704	29.149	31.687	34.465	35.395	34.990	Baden-Württemberg
317.	Hemer	24.473	32.745	34.412	37.156	37.735	34.678	Nordrhein-Westfalen
318.	Sinsheim	8.056(a)	26.658	29.307	33.992	35.392	34.674	Baden-Württemberg
319.	Lage	31.063	32.301	34.317	36.073	35.169	34.671	Nordrhein-Westfalen
320.	Fürstenfeldbruck	22.728	31.887	31.040	32.405	34.152	34.648	Bayern
321.	Kempen	39.943	30.169	33.809	36.019	35.890	34.618	Nordrhein-Westfalen
322.	Wermelskirchen	26.810	34.737	35.865	37.016	35.437	34.472	Nordrhein-Westfalen
323.	Saarlouis	39.016	38.733	38.160	38.182	37.136	34.354	Saarland
324.	Datteln	35.239	37.193	36.876	37.293	35.513	34.332	Nordrhein-Westfalen
325.	Hoyerswerda	59.144	70.705	64.888	50.203	37.379	34.317	Sachsen
326.	Königs Wusterhausen	10.435	15.005	18.103	17.262	33.981	34.240	Brandenburg
327.	Meppen	18.697	28.135	30.508	33.412	34.944	34.109	Niedersachsen
328.	Zweibrücken	32.814	34.923	33.918	35.719	33.944	34.084	Rheinland-Pfalz
329.	Kehl	16.056	29.924	30.389	33.359	34.789	34.077	Baden-Württemberg
330.	Leer	30.463	31.303	31.375	33.849	34.301	33.891	Niedersachsen
331.	Bernburg (Saale)	45.367	42.262	39.901	33.825	35.516	33.879	Sachsen-Anhalt
332.	Limburg an der Lahn	15.250	28.573	29.912	33.572	33.400	33.843	Hessen
333.	Wernigerode	32.730	35.464	35.698	35.013	34.383	33.479	Sachsen-Anhalt
334.	Radebeul	40.635	34.129	31.115	32.246	33.708	33.434	Sachsen
335.	Merseburg	55.857	50.346	42.905	37.127	35.419	33.432	Sachsen-Anhalt
336.	Tuttlingen	26.566	31.531	33.543	34.693	34.282	33.394	Baden-Württemberg
337.	Winsen (Luhe)	12.067	25.477	27.338	31.801	34.247	33.351	Niedersachsen
338.	Balingen	14.138	29.738	31.738	33.632	33.959	33.270	Baden-Württemberg
339.	Uelzen	24.598	36.261	35.466	35.065	34.250	33.269	Niedersachsen
340.	Barsinghausen	21.042	32.962	33.391	34.497	33.618	33.231	Niedersachsen
341.	Steinfurt17	17.357	32.303	31.484	33.955	33.901	33.123	Nordrhein-Westfalen
342.	Viernheim	27.753	29.590	30.527	32.427	32.601	33.120	Hessen
343.	Geldern	22.524	26.230	29.245	33.074	33.575	33.064	Nordrhein-Westfalen
344.	Goch	27.617	28.778	29.843	32.675	34.106	33.063	Nordrhein-Westfalen
345.	Mühlhausen/Thüringen	45.190	43.544	41.075	38.695	35.978	33.007	Thüringen
346.	Altenburg	46.799	55.372	48.926	41.290	34.972	32.992	Thüringen
347.	Mörfelden-Walldorf18	11.923	30.182	29.538	32.173	34.035	32.988	Hessen
348.	Cloppenburg	18.452	20.912	23.574	29.897	32.571	32.985	Niedersachsen
349.	Crailsheim	16.763	24.685	27.917	32.085	33.021	32.829	Baden-Württemberg
350.	Naumburg (Saale)	37.900	34.013	29.724	30.399	34.294	32.804	Sachsen-Anhalt
351.	Dietzenbach	13.396	25.248	29.784	32.982	33.186	32.750	Hessen
352.	Stuhr(*)	6.779(a)	26.418	27.457	30.799	33.344	32.556	Niedersachsen
353.	Seelze	10.321	30.336	30.974	33.192	32.782	32.397	Niedersachsen
354.	Korschenbroich	8.324(a)	26.169	29.227	33.782	33.078	32.305	Nordrhein-Westfalen
355.	Wedel	29.590	30.493	30.752	32.060	32.203	32.289	Schleswig-Holstein
356.	Rheinfelden (Baden)	16.469	27.415	29.148	31.642	32.330	32.245	Baden-Württemberg
357.	Kornwestheim	28.830	27.037	29.198	29.831	31.292	32.177	Baden-Württemberg
358.	Jülich	19.754	30.449	31.285	33.414	33.060	32.089	Nordrhein-Westfalen
359.	Bad Vilbel	18.010	25.931	25.075	29.716	31.822	32.020	Hessen
360.	Deggendorf	19.356	30.649	30.214	31.219	31.661	31.853	Bayern
361.	Georgsmarienhütte	28.781	31.033	31.910	32.872	32.057	31.616	Niedersachsen
362.	Einbeck	18.609	28.867	28.988	28.752	26.426	31.591	Niedersachsen
363.	Schönebeck	46.234	44.802	42.142	36.397	33.888	31.582	Sachsen-Anhalt
364.	Lampertheim	24.362	31.449	30.800	32.231	31.337	31.491	Hessen
365.	Riesa	49.960	52.540	45.440	39.367	34.013	31.423	Sachsen
366.	Biberach an der Riß	25.542	28.284	29.635	31.324	32.394	31.419	Baden-Württemberg
367.	Ahrensburg	25.501	26.065	27.418	29.117	31.276	31.361	Schleswig-Holstein
368.	Itzehoe	36.150	33.613	32.817	33.549	32.368	31.035	Schleswig-Holstein
369.	Fürstenwalde/Spree	30.841	34.515	34.413	34.044	32.468	30.967	Brandenburg
370.	Gevelsberg	33.667	31.485	33.217	33.621	31.518	30.949	Nordrhein-Westfalen
371.	Vechta	16.216	23.053	23.300	27.753	31.516	30.944	Niedersachsen
372.	Kreuztal	28.952	30.219	30.885	32.099	30.995	30.899	Nordrhein-Westfalen
373.	Bad Nauheim	14.493	26.979	28.599	30.199	31.176	30.879	Hessen
374.	Delbrück	5.599(a)	21.417	24.247	29.212	30.047	30.828	Nordrhein-Westfalen
375.	Forchheim	21.862	29.021	29.872	30.665	30.396	30.705	Bayern
376.	Nienburg/Weser	22.664	29.884	30.710	32.611	31.924	30.677	Niedersachsen
377.	Rheinberg	12.070	26.332	27.886	31.193	31.587	30.610	Nordrhein-Westfalen
378.	Oer-Erkenschwick	24.360	27.329	28.222	30.686	30.312	30.550	Nordrhein-Westfalen
379.	Schwedt/Oder	34.292	54.809	50.633	39.683	34.035	30.539	Brandenburg
380.	Ganderkesee(*)	17.626	25.135	27.104	30.207	30.941	30.460	Niedersachsen
381.	Herrenberg	12.507	25.422	27.344	29.907	31.292	30.373	Baden-Württemberg
382.	Neuruppin	22.369	25.544	26.925	32.598	31.599	30.345	Brandenburg
383.	Radolfzell am Bodensee	15.660	23.709	26.476	28.580	30.782	30.271	Baden-Württemberg
384.	Bramsche	10.635	23.747	28.120	30.633	30.986	30.134	Niedersachsen
385.	Emmerich am Rhein	24.402	29.336	28.322	28.899	29.571	30.105	Nordrhein-Westfalen
386.	Meschede	15.727	31.350	31.715	32.679	30.823	30.103	Nordrhein-Westfalen
387.	Werl	24.619	25.808	28.554	31.623	31.655	30.061	Nordrhein-Westfalen
388.	Weyhe(*) 19	8.247(a)	22.890	26.050	30.240	30.362	30.047	Niedersachsen
389.	Achim	9.746(a)	27.680	28.974	29.735	30.143	29.991	Niedersachsen
390.	Haan	20.821	28.571	29.860	29.677	29.149	29.985	Nordrhein-Westfalen
391.	Osterholz-Scharmbeck	15.273	23.632	24.705	31.206	30.198	29.942	Niedersachsen
392.	Ennepetal	37.137	35.729	34.270	33.725	30.486	29.825	Nordrhein-Westfalen
393.	Lohmar	17.870	23.496	27.098	30.659	31.129	29.679	Nordrhein-Westfalen
394.	Merzig	12.161	29.714	30.031	30.869	30.355	29.668	Saarland
395.	Zeitz	46.864	44.142	40.012	32.227	31.556	29.557	Sachsen-Anhalt
396.	Höxter	32.830	32.430	33.079	33.117	31.089	29.523	Nordrhein-Westfalen
397.	Werne	21.123	26.656	29.484	30.825	29.901	29.448	Nordrhein-Westfalen
398.	Burgdorf	18.102	28.196	29.022	30.314	29.886	29.397	Niedersachsen
399.	Geesthacht	23.345	25.303	26.246	29.106	29.228	29.363	Schleswig-Holstein
400.	Weil am Rhein	20.657	26.076	27.082	28.762	29.918	29.298	Baden-Württemberg
401.	Tönisvorst	19.872	22.228	24.844	30.347	29.699	29.181	Nordrhein-Westfalen
402.	Andernach	27.139	27.135	28.030	29.319	29.542	29.027	Rheinland-Pfalz
403.	Oelde	21.123	27.579	27.759	29.227	29.276	29.014	Nordrhein-Westfalen
404.	Friedberg	12.961	24.907	26.818	29.054	28.947	28.894	Bayern
405.	Waltrop	25.743	27.045	29.354	30.406	29.636	28.885	Nordrhein-Westfalen
406.	Bad Hersfeld	23.247	28.248	30.249	30.778	30.087	28.867	Hessen
407.	Northeim	21.850	32.170	31.381	31.691	29.431	28.865	Niedersachsen
408.	Neuburg an der Donau	18.808	24.097	25.474	27.816	28.197	28.748	Bayern
409.	Wedemark(*) 20	4.219(a)	23.530	24.758	28.373	29.063	28.745	Niedersachsen
410.	Rietberg	20.572	23.606	24.138	28.029	28.868	28.696	Nordrhein-Westfalen
411.	Bretten	11.543	22.937	24.264	27.172	28.466	28.589	Baden-Württemberg
412.	Bühl	10.013	22.307	24.667	28.496	29.452	28.566	Baden-Württemberg
413.	Grimma	16.639	17.391	17.698	18.729	18.711	28.553	Sachsen
414.	Gaggenau	21.124	28.533	28.761	29.721	29.032	28.546	Baden-Württemberg
415.	Güstrow	37.428	37.169	37.513	32.323	30.018	28.540	Mecklenburg-Vorpommern
416.	Taunusstein	14.121	25.659	26.977	28.745	28.963	28.515	Hessen
417.	Springe	12.858	30.368	29.752	29.897	29.301	28.336	Niedersachsen
418.	Idar-Oberstein	38.755	35.434	33.764	33.646	30.379	28.323	Rheinland-Pfalz
419.	Kelkheim (Taunus)	16.545	27.089	26.203	26.755	27.883	28.190	Hessen
420.	Vaihingen an der Enz	7.850(a)	22.907	24.461	27.578	28.833	28.080	Baden-Württemberg
421.	Landsberg am Lech	14.260	18.309	21.039	25.564	28.121	28.069	Bayern
422.	Sundern (Sauerland)	9.525(a)	25.689	27.250	29.867	28.730	28.022	Nordrhein-Westfalen
423.	Aschersleben	37.163	35.083	32.545	27.312	29.082	27.995	Sachsen-Anhalt
424.	Schwelm	34.058	31.108	30.394	30.569	28.614	27.898	Nordrhein-Westfalen
425.	Bad Zwischenahn(*) 21	20.798	23.583	23.828	25.536	27.537	27.866	Niedersachsen
426.	Sangerhausen	32.303	33.937	32.697	25.399	29.679	27.830	Sachsen-Anhalt
427.	Schwandorf	16.190	27.166	26.393	27.820	27.736	27.817	Bayern
428.	Rösrath	19.226	21.340	22.849	26.330	27.288	27.792	Nordrhein-Westfalen
429.	Friedberg (Hessen)	16.782	24.233	24.633	26.751	27.962	27.758	Hessen
430.	Wegberg	15.611	24.654	25.445	28.543	29.100	27.713	Nordrhein-Westfalen
431.	Leichlingen (Rheinland)	20.254	24.612	25.996	26.796	27.481	27.646	Nordrhein-Westfalen
432.	Kevelaer	20.555	21.614	23.309	27.060	28.328	27.635	Nordrhein-Westfalen
433.	Wetter (Ruhr)	30.756	29.840	28.880	29.851	28.113	27.596	Nordrhein-Westfalen
434.	Königsbrunn	12.973	18.006	22.035	26.539	27.406	27.487	Bayern
435.	Mühlheim am Main	20.820	24.490	24.303	26.082	26.881	27.475	Hessen
436.	Winnenden	14.446	22.334	23.995	27.214	27.599	27.361	Baden-Württemberg
437.	Baunatal	13.077	21.366	24.941	28.020	27.642	27.353	Hessen
438.	Rendsburg	34.820	32.548	31.170	29.321	28.217	27.325	Schleswig-Holstein
439.	Henstedt-Ulzburg(*)	10.645	18.753	21.402	24.950	27.189	27.269	Schleswig-Holstein
440.	Eisenhüttenstadt	45.410	48.253	50.216	41.493	31.132	27.205	Brandenburg
441.	Meißen	45.609	39.619	34.575	29.398	27.545	27.135	Sachsen
442.	Staßfurt	26.153	26.666	25.514	20.681	28.605	27.060	Sachsen-Anhalt
443.	Bad Neuenahr-Ahrweiler	23.869	26.141	25.178	27.061	27.398	26.934	Rheinland-Pfalz
444.	Köthen (Anhalt)	36.624	34.639	33.097	30.360	28.243	26.889	Sachsen-Anhalt
445.	Neukirchen-Vluyn	13.973	25.519	26.591	28.525	27.579	26.846	Nordrhein-Westfalen
446.	Overath	15.636	21.476	23.902	26.115	26.990	26.812	Nordrhein-Westfalen
447.	Rheinbach	18.824	21.841	22.990	25.943	27.392	26.790	Nordrhein-Westfalen
448.	Mechernich	13.233	21.673	22.755	26.003	27.154	26.763	Nordrhein-Westfalen
449.	Verden (Aller)	17.014	24.261	24.589	27.082	26.802	26.668	Niedersachsen
450.	Geilenkirchen	10.143	21.833	22.808	27.826	28.253	26.626	Nordrhein-Westfalen
451.	Wangen im Allgäu	14.462	23.259	24.589	25.982	27.461	26.548	Baden-Württemberg
452.	Reinbek	15.456	25.051	24.670	24.570	25.821	26.514	Schleswig-Holstein
453.	Baesweiler	13.764	23.509	24.442	27.434	27.898	26.497	Nordrhein-Westfalen
454.	Rödermark23	9.257(a)	22.002	25.018	26.049	25.926	26.494	Hessen
455.	Hamminkeln	4.378(a)	21.857	24.659	27.161	27.711	26.369	Nordrhein-Westfalen
456.	Unterschleißheim	7.019(a)	15.897	24.180	25.633	26.416	26.363	Bayern
457.	Geislingen an der Steige	27.196	27.344	26.993	27.998	26.841	26.356	Baden-Württemberg
458.	Schloß Holte-Stukenbrock	16.003	20.425	21.402	25.562	26.156	26.318	Nordrhein-Westfalen
459.	Emmendingen	16.462	24.740	23.590	24.919	26.874	26.287	Baden-Württemberg
460.	Nordenham	28.207	30.311	28.773	28.183	26.826	26.262	Niedersachsen
461.	Kulmbach	23.786	28.226	27.871	28.258	26.768	26.217	Bayern
462.	Griesheim	16.791	20.243	21.187	24.398	26.317	26.198	Hessen
463.	Weinstadt22	5.111(a)	23.244	23.999	25.484	26.421	26.177	Baden-Württemberg
464.	Olching	9.255(a)	18.981	20.702	22.796	25.018	26.149	Bayern
465.	Garmisch-Partenkirchen(*)	27.101	27.828	26.837	26.364	26.068	26.102	Bayern
466.	Lauf an der Pegnitz	16.116	21.836	23.390	25.770	26.127	25.993	Bayern
467.	Zirndorf	13.388	20.978	21.494	24.950	25.965	25.957	Bayern
468.	Zittau	43.321	41.852	34.465	27.454	28.212	25.950	Sachsen
469.	Ilmenau	19.220	26.293	28.454	27.176	26.022	25.949	Thüringen
470.	Lennestadt	25.408	25.996	26.468	28.026	27.115	25.908	Nordrhein-Westfalen
471.	St. Wendel	10.086	26.702	27.059	27.303	26.208	25.890	Saarland
472.	Leimen	9.318(a)	17.043	20.361	25.850	27.225	25.812	Baden-Württemberg
473.	Hennigsdorf	24.542	27.185	24.387	26.306	25.909	25.800	Brandenburg
474.	Neckarsulm	18.483	21.871	22.690	27.482	26.511	25.762	Baden-Württemberg
475.	Strausberg	19.434	24.169	28.523	26.221	26.206	25.744	Brandenburg
476.	Hattersheim am Main	9.435(a)	23.670	23.675	24.752	25.680	25.740	Hessen
477.	Plettenberg	30.288	29.046	29.083	29.031	26.321	25.684	Nordrhein-Westfalen
478.	Blankenfelde-Mahlow(*) 24	7.192	7.383(b)	7.820(c)	10.241	25.718	25.664	Brandenburg
479.	Selm	15.552	23.762	24.891	27.240	27.001	25.553	Nordrhein-Westfalen
480.	Wiesloch	16.145	21.746	22.947	25.528	26.034	25.502	Baden-Württemberg
481.	Brilon	13.828	24.533	25.303	27.347	26.335	25.499	Nordrhein-Westfalen
482.	Petershagen	3.612(a)	24.063	24.543	27.040	25.750	25.451	Nordrhein-Westfalen
483.	Heiligenhaus	28.727	29.661	29.715	28.442	26.659	25.419	Nordrhein-Westfalen
484.	Lübbecke	11.238	21.470	23.695	25.908	25.796	25.398	Nordrhein-Westfalen
485.	Lohne (Oldenburg)	15.942	18.601	20.106	24.564	26.047	25.249	Niedersachsen
486.	Warstein	10.438	28.329	28.363	29.028	27.170	25.247	Nordrhein-Westfalen
487.	Rinteln	10.865	25.849	26.979	28.392	26.879	25.228	Niedersachsen
488.	Saalfeld/Saale	33.643	34.430	32.988	29.511	26.755	25.098	Thüringen
489.	Quedlinburg	30.758	28.585	27.972	24.114	21.120	25.055	Sachsen-Anhalt
490.	Wiehl	16.821	21.102	23.132	26.448	25.645	25.047	Nordrhein-Westfalen
491.	Heppenheim (Bergstraße)	16.957	23.786	23.859	25.434	25.266	25.013	Hessen
492.	Delitzsch	24.435	25.248	27.051	26.331	26.344	25.005	Sachsen
493.	Hohen Neuendorf	9.566	9.059(b)	8.281(c)	18.922	24.384	25.001	Brandenburg
494.	Sprockhövel	21.911	24.356	24.505	26.454	25.408	24.989	Nordrhein-Westfalen
495.	Senftenberg	24.367	32.095	29.451	24.740	26.530	24.987	Brandenburg
496.	Schmallenberg	5.207(a)	25.017	25.077	26.556	25.281	24.980	Nordrhein-Westfalen
497.	Verl	15.712	18.406	19.771	23.315	24.984	24.947	Nordrhein-Westfalen
498.	Mühlacker	14.194	24.216	25.301	25.969	25.369	24.931	Baden-Württemberg
499.	Norden	16.976	24.384	23.815	24.957	25.116	24.887	Niedersachsen
500.	Bad Honnef	19.943	20.907	22.577	25.004	25.213	24.845	Nordrhein-Westfalen
501.	Ehingen	13.512	21.988	23.568	24.898	25.670	24.786	Baden-Württemberg
502.	Achern	7.596(a)	20.543	21.382	23.463	25.014	24.618	Baden-Württemberg
503.	Espelkamp	12.860	23.045	26.101	26.952	25.236	24.604	Nordrhein-Westfalen
504.	Olpe	21.164	22.351	23.785	25.162	25.409	24.592	Nordrhein-Westfalen
505.	Friedrichsdorf	3.930(a)	22.657	23.392	24.282	24.685	24.577	Hessen
506.	Lindau (Bodensee)	25.232	24.216	24.378	23.874	24.772	24.560	Bayern
507.	Salzkotten	5.909(a)	18.216	20.495	23.501	24.868	24.547	Nordrhein-Westfalen
508.	Remseck am Neckar27	4.539(a)	16.593	17.459	20.013	23.355	24.512	Baden-Württemberg
509.	Bad Oldesloe	18.444	20.159	21.097	23.314	24.322	24.477	Schleswig-Holstein
510.	Pfaffenhofen an der Ilm	9.808(a)	15.715	19.510	22.376	24.158	24.441	Bayern
511.	Butzbach	15.732	21.274	22.308	24.954	24.971	24.384	Hessen
512.	Rottweil	20.532	23.673	24.002	25.180	25.659	24.378	Baden-Württemberg
513.	Roth	11.722	21.657	21.737	24.858	24.417	24.339	Bayern
514.	Attendorn	21.735	21.511	22.736	24.460	24.693	24.336	Nordrhein-Westfalen
515.	Horb am Neckar	5.001(a)	20.668	22.541	25.154	25.603	24.308	Baden-Württemberg
516.	Eisleben, Lutherstadt	30.482	27.372	25.874	21.062	25.489	24.284	Sachsen-Anhalt
517.	Ingelheim am Rhein	18.939	19.596	21.153	24.678	24.152	24.283	Rheinland-Pfalz
518.	Salzwedel	19.792	22.904	23.056	20.349	24.090	24.282	Sachsen-Anhalt
519.	Weiterstadt	7.233(a)	19.068	21.795	23.907	24.378	24.274	Hessen
520.	Ditzingen	11.534	22.480	23.035	23.888	24.493	24.272	Baden-Württemberg
521.	Bingen am Rhein	23.627	23.528	23.853	24.710	24.276	24.234	Rheinland-Pfalz
522.	Rathenow	29.836	32.110	29.823	26.639	25.301	24.164	Brandenburg
523.	Limbach-Oberfrohna	25.576	23.366	22.324	27.552	25.348	24.107	Sachsen
524.	Groß-Gerau	13.277	21.432	22.137	23.349	23.409	24.076	Hessen
525.	Teltow	15.330	15.260	14.859	17.938	22.538	24.031	Brandenburg
526.	Pfungstadt	17.194	23.470	23.864	25.043	24.615	24.002	Hessen
527.	Ludwigsfelde	16.738	20.604	21.665	23.031	24.044	23.956	Brandenburg
528.	Übach-Palenberg	22.667	22.870	23.521	24.804	24.779	23.948	Nordrhein-Westfalen
529.	Markkleeberg	22.374	21.073	17.674	23.157	24.338	23.940	Sachsen
530.	Obertshausen	9.096(a)	20.897	23.285	24.658	24.083	23.921	Hessen
